binomial,kingdom,phylum,class,order,family,genus,species
Polyphylla decemlineata,Animalia,Arthropoda,Insecta,Coleoptera,Melolonthidae,Polyphylla,decemlineata
Aloe vera,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Asphodelaceae,Aloe,vera
Borodinia laevigata,Chromista,Foraminifera,Globothalamea,Rotaliida,Acervulinidae,Borodinia,laevigata
Dactylorhiza fuchsii,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,Dactylorhiza,fuchsii
Goodyera pubescens,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,Goodyera,pubescens
Lilium pardalinum,Plantae,Tracheophyta,Magnoliopsida,Liliales,Liliaceae,Lilium,pardalinum
Oreochromis mossambicus,Animalia,Chordata,Actinopterygii,Cichliformes,Cichlidae,Oreochromis,mossambicus
Calochortus macrocarpus,Plantae,Tracheophyta,Magnoliopsida,Liliales,Liliaceae,Calochortus,macrocarpus
Triodia sylvina,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,Triodia,sylvina
Nama aretioides,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Nama,aretioides
Amaryllis belladonna,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Amaryllidaceae,Amaryllis,belladonna
Briza media,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,Briza,media
Eriophorum angustifolium,Plantae,Tracheophyta,Magnoliopsida,Poales,Cyperaceae,Eriophorum,angustifolium
Freycinetia banksii,Plantae,Tracheophyta,Magnoliopsida,Pandanales,Pandanaceae,Freycinetia,banksii
Pseudocaranx georgianus,Animalia,Chordata,Actinopterygii,Carangiformes,Carangidae,Pseudocaranx,georgianus
Paspalum urvillei,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,Paspalum,urvillei
Dynastes tityus,Animalia,Arthropoda,Insecta,Coleoptera,Dynastidae,Dynastes,tityus
Neottia nidus-avis,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,Neottia,nidus-avis
Calochortus weedii,Plantae,Tracheophyta,Magnoliopsida,Liliales,Liliaceae,Calochortus,weedii
Phaeolus schweinitzii,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,Phaeolus,schweinitzii
Smilax bona-nox,Plantae,Tracheophyta,Magnoliopsida,Liliales,Smilacaceae,Smilax,bona-nox
Carex pseudocyperus,Plantae,Tracheophyta,Magnoliopsida,Poales,Cyperaceae,Carex,pseudocyperus
Lilium michiganense,Plantae,Tracheophyta,Magnoliopsida,Liliales,Liliaceae,Lilium,michiganense
Eriophorum vaginatum,Plantae,Tracheophyta,Magnoliopsida,Poales,Cyperaceae,Eriophorum,vaginatum
Mayaheros urophthalmus,Animalia,Chordata,Actinopterygii,Cichliformes,Cichlidae,Mayaheros,urophthalmus
Chaetura pelagica,Animalia,Chordata,Aves,Apodiformes,Apodidae,Chaetura,pelagica
Callithrix penicillata,Animalia,Chordata,Mammalia,Primates,Callitrichidae,Callithrix,penicillata
Laetiporus sulphureus,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,Laetiporus,sulphureus
Myliobatis californica,Animalia,Chordata,Chondrichthyes,Myliobatiformes,Myliobatidae,Myliobatis,californica
Pemphredon inornata,Animalia,Arthropoda,Insecta,Hymenoptera,Crabronidae,Pemphredon,inornata
Epipremnum aureum,Plantae,Tracheophyta,Magnoliopsida,Alismatales,Araceae,Epipremnum,aureum
Microspathodon chrysurus,Animalia,Chordata,Teleostei,Perciformes,Pomacentridae,Microspathodon,chrysurus
Epipactis gigantea,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,Epipactis,gigantea
Briza minor,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,Briza,minor
Dioscorea villosa,Plantae,Tracheophyta,Magnoliopsida,Dioscoreales,Dioscoreaceae,Dioscorea,villosa
Haemanthus sanguineus,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Amaryllidaceae,Haemanthus,sanguineus
Squalius cephalus,Animalia,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Squalius,cephalus
Bromus diandrus,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,Bromus,diandrus
Calochortus venustus,Plantae,Tracheophyta,Magnoliopsida,Liliales,Liliaceae,Calochortus,venustus
Nassella pulchra,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,Nassella,pulchra
Olea europaea,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Olea,europaea
Typha angustifolia,Plantae,Tracheophyta,Magnoliopsida,Poales,Typhaceae,Typha,angustifolia
Adoxa moschatellina,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Adoxaceae,Adoxa,moschatellina
Orchis militaris,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,Orchis,militaris
Fritillaria affinis,Plantae,Tracheophyta,Magnoliopsida,Liliales,Liliaceae,Fritillaria,affinis
Trichia decipiens,Protozoa,Protozoa,Eumycetozoa,Trichiida,Trichiidae,Trichia,decipiens
Cypripedium calceolus,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,Cypripedium,calceolus
Smilax tamnoides,Plantae,Tracheophyta,Magnoliopsida,Liliales,Smilacaceae,Smilax,tamnoides
Sisyrinchium angustifolium,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Iridaceae,Sisyrinchium,angustifolium
Distichlis spicata,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,Distichlis,spicata
Cypripedium parviflorum,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,Cypripedium,parviflorum
Carex obnupta,Plantae,Tracheophyta,Magnoliopsida,Poales,Cyperaceae,Carex,obnupta
Sarpa salpa,Animalia,Chordata,Actinopterygii,Spariformes,Sparidae,Sarpa,salpa
Limodorum abortivum,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,Limodorum,abortivum
Pomacanthus paru,Animalia,Chordata,Teleostei,Perciformes,Pomacanthidae,Pomacanthus,paru
Serapias lingua,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,Serapias,lingua
Aloe arborescens,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Asphodelaceae,Aloe,arborescens
Thalassoma hardwicke,Animalia,Chordata,Actinopterygii,Labriformes,Labridae,Thalassoma,hardwicke
Sorghum halepense,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,Sorghum,halepense
Lepomis gulosus,Animalia,Chordata,Actinopterygii,Centrarchiformes,Centrarchidae,Lepomis,gulosus
Schoenoplectus acutus,Plantae,Tracheophyta,Magnoliopsida,Poales,Cyperaceae,Schoenoplectus,acutus
Cladium mariscus,Plantae,Tracheophyta,Magnoliopsida,Poales,Cyperaceae,Cladium,mariscus
Disa bracteata,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,Disa,bracteata
Phoenix canariensis,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Phoenix,canariensis
Prunella grandiflora,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Prunella,grandiflora
Cordyline fruticosa,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Asparagaceae,Cordyline,fruticosa
Trichophorum cespitosum,Plantae,Tracheophyta,Magnoliopsida,Poales,Cyperaceae,Trichophorum,cespitosum
Viola blanda,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Violaceae,Viola,blanda
Amphiprion clarkii,Animalia,Chordata,Teleostei,Perciformes,Pomacentridae,Amphiprion,clarkii
Typha latifolia,Plantae,Tracheophyta,Magnoliopsida,Poales,Typhaceae,Typha,latifolia
Himantoglossum hircinum,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,Himantoglossum,hircinum
Antennaria alpina,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Antennaria,alpina
Erythronium umbilicatum,Plantae,Tracheophyta,Magnoliopsida,Liliales,Liliaceae,Erythronium,umbilicatum
Agave americana,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Asparagaceae,Agave,americana
Heliconia rostrata,Plantae,Tracheophyta,Magnoliopsida,Zingiberales,Heliconiaceae,Heliconia,rostrata
Tulipa sylvestris,Plantae,Tracheophyta,Magnoliopsida,Liliales,Liliaceae,Tulipa,sylvestris
Polistes chinensis,Animalia,Arthropoda,Insecta,Hymenoptera,Eumenidae,Polistes,chinensis
Viburnum lantana,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Adoxaceae,Viburnum,lantana
Viola kauaensis,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Viola,kauaensis
Hyacinthoides hispanica,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Asparagaceae,Hyacinthoides,hispanica
Bolboschoenus maritimus,Plantae,Tracheophyta,Magnoliopsida,Poales,Cyperaceae,Bolboschoenus,maritimus
Delphinus delphis,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Delphinus,delphis
Ganoderma tsugae,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Ganodermataceae,Ganoderma,tsugae
Prosartes trachycarpa,Plantae,Tracheophyta,Magnoliopsida,Liliales,Liliaceae,Prosartes,trachycarpa
Maianthemum dilatatum,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Asparagaceae,Maianthemum,dilatatum
Thymus praecox,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Thymus,praecox
Carex flava,Plantae,Tracheophyta,Magnoliopsida,Poales,Cyperaceae,Carex,flava
Polistes apachus,Animalia,Arthropoda,Insecta,Hymenoptera,Eumenidae,Polistes,apachus
Anolis wattsi,Animalia,Chordata,Reptilia,Squamata,Dactyloidae,Anolis,wattsi
Oryzopsis asperifolia,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,Oryzopsis,asperifolia
Pomoxis annularis,Animalia,Chordata,Actinopterygii,Centrarchiformes,Centrarchidae,Pomoxis,annularis
Phyllotopsis nidulans,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Phyllotopsis,nidulans
Galeopsis angustifolia,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Galeopsis,angustifolia
Stevenia atramentaria,Animalia,Arthropoda,Insecta,Diptera,Rhinophoridae,Stevenia,atramentaria
Chaetura vauxi,Animalia,Chordata,Aves,Apodiformes,Apodidae,Chaetura,vauxi
Ganoderma applanatum,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Ganodermataceae,Ganoderma,applanatum
Rhinotropis cornuta,Plantae,Tracheophyta,Magnoliopsida,Fabales,Polygalaceae,Rhinotropis,cornuta
Brodiaea terrestris,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Asparagaceae,Brodiaea,terrestris
Stephania abyssinica,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Menispermaceae,Stephania,abyssinica
Lolium perenne,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,Lolium,perenne
Calochortus invenustus,Plantae,Tracheophyta,Magnoliopsida,Liliales,Liliaceae,Calochortus,invenustus
Trillium chloropetalum,Plantae,Tracheophyta,Magnoliopsida,Liliales,Melanthiaceae,Trillium,chloropetalum
Hedychium gardnerianum,Plantae,Tracheophyta,Magnoliopsida,Zingiberales,Zingiberaceae,Hedychium,gardnerianum
Stenotaphrum secundatum,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,Stenotaphrum,secundatum
Rhynchospora alba,Plantae,Tracheophyta,Magnoliopsida,Poales,Cyperaceae,Rhynchospora,alba
Lilium washingtonianum,Plantae,Tracheophyta,Magnoliopsida,Liliales,Liliaceae,Lilium,washingtonianum
Spiranthes romanzoffiana,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,Spiranthes,romanzoffiana
Hypholoma fasciculare,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hymenogastraceae,Hypholoma,fasciculare
Iris pseudacorus,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Iridaceae,Iris,pseudacorus
Lycoris radiata,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Amaryllidaceae,Lycoris,radiata
Cyprinus carpio,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Cyprinus,carpio
Ptilium crista-castrensis,Plantae,Bryophyta,Bryopsida,Hypnales,Hypnaceae,Ptilium,crista-castrensis
Gilia ochroleuca,Plantae,Tracheophyta,Magnoliopsida,Ericales,Polemoniaceae,Gilia,ochroleuca
Calochortus splendens,Plantae,Tracheophyta,Magnoliopsida,Liliales,Liliaceae,Calochortus,splendens
Viola lanceolata,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Viola,lanceolata
Lilium humboldtii,Plantae,Tracheophyta,Magnoliopsida,Liliales,Liliaceae,Lilium,humboldtii
Polistes fuscatus,Animalia,Arthropoda,Insecta,Hymenoptera,Eumenidae,Polistes,fuscatus
Tetraclita rubescens,Animalia,Arthropoda,Thecostraca,Sessilia,Tetraclitidae,Tetraclita,rubescens
Canna indica,Plantae,Tracheophyta,Magnoliopsida,Zingiberales,Cannaceae,Canna,indica
Rivina humilis,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Phytolaccaceae,Rivina,humilis
Morone americana,Animalia,Chordata,Teleostei,Perciformes,Moronidae,Morone,americana
Trillium luteum,Plantae,Tracheophyta,Magnoliopsida,Liliales,Melanthiaceae,Trillium,luteum
Alopecurus pratensis,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,Alopecurus,pratensis
Dioscorea bulbifera,Plantae,Tracheophyta,Magnoliopsida,Dioscoreales,Dioscoreaceae,Dioscorea,bulbifera
Dactylorhiza incarnata,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,Dactylorhiza,incarnata
Ulmus americana,Plantae,Tracheophyta,Magnoliopsida,Rosales,Ulmaceae,Ulmus,americana
Yucca schidigera,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Asparagaceae,Yucca,schidigera
Carex leptalea,Plantae,Tracheophyta,Magnoliopsida,Poales,Cyperaceae,Carex,leptalea
Ophrys lutea,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,Ophrys,lutea
Viola praemorsa,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Violaceae,Viola,praemorsa
Collinsia sparsiflora,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Collinsia,sparsiflora
Erythronium montanum,Plantae,Tracheophyta,Magnoliopsida,Liliales,Liliaceae,Erythronium,montanum
Ornithogalum umbellatum,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Asparagaceae,Ornithogalum,umbellatum
Serenoa repens,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Serenoa,repens
Acanthurus coeruleus,Animalia,Chordata,Actinopterygii,Acanthuriformes,Acanthuridae,Acanthurus,coeruleus
Digitaria ciliaris,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,Digitaria,ciliaris
Dactylis glomerata,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,Dactylis,glomerata
Sparganium emersum,Plantae,Tracheophyta,Magnoliopsida,Poales,Typhaceae,Sparganium,emersum
Carex canescens,Plantae,Tracheophyta,Magnoliopsida,Poales,Cyperaceae,Carex,canescens
Eugenia koolauensis,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Eugenia,koolauensis
Petalidium variabile,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Petalidium,variabile
Poa pratensis,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,Poa,pratensis
Ophrys sphegodes,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,Ophrys,sphegodes
Asphodelus fistulosus,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Asphodelaceae,Asphodelus,fistulosus
Nama demissa,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Nama,demissa
Scilla siberica,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Asparagaceae,Scilla,siberica
Ficus pumila,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Ficus,pumila
Potamogeton crispus,Plantae,Tracheophyta,Magnoliopsida,Alismatales,Potamogetonaceae,Potamogeton,crispus
Anacamptis pyramidalis,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,Anacamptis,pyramidalis
Phragmites australis,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,Phragmites,australis
Hypsypops rubicundus,Animalia,Chordata,Teleostei,Perciformes,Pomacentridae,Hypsypops,rubicundus
Campylopterus hemileucurus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Campylopterus,hemileucurus
Monarda fistulosa,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Monarda,fistulosa
Cyperus esculentus,Plantae,Tracheophyta,Magnoliopsida,Poales,Cyperaceae,Cyperus,esculentus
Ficus ingens,Animalia,Mollusca,Gastropoda,Littorinimorpha,Ficidae,Ficus,ingens
Calamagrostis canadensis,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,Calamagrostis,canadensis
Asparagus asparagoides,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Asparagaceae,Asparagus,asparagoides
Viola wittrockiana,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Viola,wittrockiana
Calla palustris,Plantae,Tracheophyta,Magnoliopsida,Alismatales,Araceae,Calla,palustris
Carex crinita,Plantae,Tracheophyta,Magnoliopsida,Poales,Cyperaceae,Carex,crinita
Viola macloskeyi,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Viola,macloskeyi
Hedwigia ciliata,Plantae,Bryophyta,Bryopsida,Leucodontales,Hedwigiaceae,Hedwigia,ciliata
Luxilus cornutus,Animalia,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Luxilus,cornutus
Aristida purpurea,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,Aristida,purpurea
Pellaea calomelanos,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,Pellaea,calomelanos
Phoenix dactylifera,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Phoenix,dactylifera
Nolina texana,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Asparagaceae,Nolina,texana
Arum italicum,Plantae,Tracheophyta,Magnoliopsida,Alismatales,Araceae,Arum,italicum
Gladiolus italicus,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Iridaceae,Gladiolus,italicus
Hypholoma capnoides,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hymenogastraceae,Hypholoma,capnoides
Gagea lutea,Plantae,Tracheophyta,Magnoliopsida,Liliales,Liliaceae,Gagea,lutea
Prunella grandiflora,Animalia,Chordata,Aves,Passeriformes,Prunellidae,Prunella,grandiflora
Ficus aurea,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Ficus,aurea
Triteleia ixioides,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Asparagaceae,Triteleia,ixioides
Hypoxis hirsuta,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Hypoxidaceae,Hypoxis,hirsuta
Cyperus eragrostis,Plantae,Tracheophyta,Magnoliopsida,Poales,Cyperaceae,Cyperus,eragrostis
Pellaea calomelanos,Animalia,Arthropoda,Insecta,Hemiptera,Pentatomidae,Pellaea,calomelanos
Panaeolus antillarum,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Galeropsidaceae,Panaeolus,antillarum
Ascocoryne sarcoides,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Ascocoryne,sarcoides
Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,colubris
Nama demissum,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Nama,demissum
Phocoena phocoena,Animalia,Chordata,Mammalia,Cetacea,Phocoenidae,Phocoena,phocoena
Coragyps atratus,Animalia,Chordata,Aves,Cathartiformes,Cathartidae,Coragyps,atratus
Trichius fasciatus,Animalia,Arthropoda,Insecta,Coleoptera,Cetoniidae,Trichius,fasciatus
Carex vesicaria,Plantae,Tracheophyta,Magnoliopsida,Poales,Cyperaceae,Carex,vesicaria
Pritchardia pacifica,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Pritchardia,pacifica
Alisma triviale,Plantae,Tracheophyta,Magnoliopsida,Alismatales,Alismataceae,Alisma,triviale
Ophrys tenthredinifera,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,Ophrys,tenthredinifera
Calypso bulbosa,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,Calypso,bulbosa
Haemulon flavolineatum,Animalia,Chordata,Actinopterygii,Lutjaniformes,Haemulidae,Haemulon,flavolineatum
Protaetia cuprea,Animalia,Arthropoda,Insecta,Coleoptera,Cetoniidae,Protaetia,cuprea
Rhopalostylis sapida,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Rhopalostylis,sapida
Viola macloskeyi,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Violaceae,Viola,macloskeyi
Iris graminea,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Iridaceae,Iris,graminea
Elymus canadensis,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,Elymus,canadensis
Luzula pilosa,Plantae,Tracheophyta,Magnoliopsida,Poales,Juncaceae,Luzula,pilosa
Prospero autumnale,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Asparagaceae,Prospero,autumnale
Liparis loeselii,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,Liparis,loeselii
Veratrum californicum,Plantae,Tracheophyta,Magnoliopsida,Liliales,Melanthiaceae,Veratrum,californicum
Viola adunca,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Violaceae,Viola,adunca
Avenella flexuosa,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,Avenella,flexuosa
Polygonatum multiflorum,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Asparagaceae,Polygonatum,multiflorum
Iris cristata,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Iridaceae,Iris,cristata
Aristotelia serrata,Plantae,Tracheophyta,Magnoliopsida,Oxalidales,Elaeocarpaceae,Aristotelia,serrata
Lolium pratense,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,Lolium,pratense
Viburnum opulus,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Adoxaceae,Viburnum,opulus
Echinops bovei,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Echinops,bovei
Iris missouriensis,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Iridaceae,Iris,missouriensis
Leucobryum glaucum,Plantae,Bryophyta,Bryopsida,Dicranales,Dicranaceae,Leucobryum,glaucum
Polygonatum biflorum,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Asparagaceae,Polygonatum,biflorum
Aplectrum hyemale,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,Aplectrum,hyemale
Iris foetidissima,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Iridaceae,Iris,foetidissima
Trillium sessile,Plantae,Tracheophyta,Magnoliopsida,Liliales,Melanthiaceae,Trillium,sessile
Gymnadenia conopsea,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,Gymnadenia,conopsea
Carex grayi,Plantae,Tracheophyta,Magnoliopsida,Poales,Cyperaceae,Carex,grayi
Romulea rosea,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Iridaceae,Romulea,rosea
Gaussia princeps,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Gaussia,princeps
Orchis anthropophora,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,Orchis,anthropophora
Salix babylonica,Animalia,Chordata,Ascidiacea,Aplousobranchia,Polycitoridae,Salix,babylonica
Dasylirion texanum,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Asparagaceae,Dasylirion,texanum
Rhynchophorus ferrugineus,Animalia,Arthropoda,Insecta,Coleoptera,Dryophthoridae,Rhynchophorus,ferrugineus
Fritillaria messanensis,Animalia,Chordata,Appendicularia,Copelata,Fritillariidae,Fritillaria,messanensis
Caladenia carnea,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,Caladenia,carnea
Viola purpurea,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Violaceae,Viola,purpurea
